,,Pressure (bar),Temperature (°C),XCO2,mNaCl (mol/Kg),,,,
,,1500,200,0.072,0,,,,
,,100,250,0.012,0,,,,
,,200,250,0.027,0,,,,
,,300,250,0.042,0,,,,
,,400,250,0.055,0,,,,
,,500,250,0.064,0,,,,
,,600,250,0.074,0,,,,
,,700,250,0.084,0,,,,
,,800,250,0.094,0,,,,
,,900,250,0.104,0,,,,
,,1000,250,0.115,0,,,,
,,1100,250,0.125,0,,,,
,,1200,250,0.132,0,,,,
,,1300,250,0.136,0,,,,
,,1400,250,0.14,0,,,,
,,1500,250,0.144,0,,,,
,,200,260,0.027,0,,,,
,,250,260,0.035,0,,,,
,,300,260,0.044,0,,,,
,,400,260,0.059,0,,,,
,,500,260,0.073,0,,,,
,,600,260,0.087,0,,,,
,,700,260,0.1,0,,,,
,,800,260,0.113,0,,,,
,,900,260,0.125,0,,,,
,,1000,260,0.135,0,,,,
,,1100,260,0.145,0,,,,
,,1200,260,0.155,0,,,,
,,1300,260,0.16,0,,,,
,,1400,260,0.165,0,,,,
,,1500,260,0.175,0,,,,
,,200,270,0.027,0,,,,
,,250,270,0.036,0,,,,
,,300,270,0.046,0,,,,
,,400,270,0.067,0,,,,
,,500,270,0.087,0,,,,
,,600,270,0.106,0,,,,
,,700,270,0.125,0,,,,
,,800,270,0.145,0,,,,
,,900,270,0.166,0,,,,
,,1000,270,0.19,0,,,,
,,1100,270,0.215,0,,,,
,,1200,270,0.25,0,,,,
,,100,275,0.01,0,,,,
,,150,275,0.019,0,,,,
,,200,275,0.028,0,,,,
,,250,275,0.038,0,,,,
,,300,275,0.049,0,,,,
,,400,275,0.072,0,,,,
,,500,275,0.096,0,,,,
,,600,275,0.12,0,,,,
,,700,275,0.144,0,,,,
,,800,275,0.175,0,,,,
,,100,300,0.004,0,,,,
,,150,300,0.016,0,,,,
,,200,300,0.029,0,,,,
,,250,300,0.041,0,,,,
,,300,300,0.054,0,,,,
,,350,300,0.068,0,,,,
,,400,300,0.084,0,,,,
,,450,300,0.104,0,,,,
,,500,300,0.127,0,,,,
,,550,300,0.17,0,,,,
,,150,325,0.01,0,,,,
,,200,325,0.026,0,,,,
,,250,325,0.043,0,,,,
,,300,325,0.061,0,,,,
,,350,325,0.082,0,,,,
,,400,325,0.112,0,,,,
,,200,350,0.015,0,,,,
,,250,350,0.04,0,,,,
,,300,350,0.064,0,MoleCO2,MolesH2O,Xco2,
"Weibe and Gaddy1939,1940, and 1941",,50.6625,12,0.0277959559679761,0,0.00158660714285714,0.0554938956714761,0.0277959559679761,0.3554
,,75.99375,12,0.0283962727094913,0,0.001621875,0.0554938956714761,0.0283962727094913,0.3633
,,101.325,12,0.0287303050028793,0,0.00164151785714286,0.0554938956714761,0.0287303050028793,0.3677
,,151.9875,12,0.0299581741349624,0,0.00171383928571429,0.0554938956714761,0.0299581741349624,0.3839
,,202.65,12,0.031001690668452,0,0.00177544642857143,0.0554938956714761,0.031001690668452,0.3977
,,303.975,12,0.0319826619106016,0,0.00183348214285714,0.0554938956714761,0.0319826619106016,0.4107
,,25.33125,18,0.0154525686319444,0,0.000870982142857143,0.0554938956714761,0.0154525686319444,0.1951
,,50.6625,18,0.0251197311823366,0,0.00142991071428571,0.0554938956714761,0.0251197311823366,0.3203
,,75.99375,18,0.0265092398832037,0,0.00151116071428571,0.0554938956714761,0.0265092398832037,0.3385
